finished,start_date,end_date,recorded_date,gender,age,enrolment_school,student_status,citizenship,ethnic_group,living_situation,current_circumstance,covid_19_stress_1,covid_19_stress_2,covid_19_stress_3,covid_19_stress_4,covid_19_stress_5,covid_19_stress_6,covid_19_stress_7,covid_19_stress_8,covid_19_stress_9,covid_19_stress_10,covid_19_stress_11,covid_19_stress_12,covid_19_stress_13,coping_strategies_1,coping_strategies_2,coping_strategies_3,coping_strategies_4,coping_strategies_5,coping_strategies_6,coping_strategies_7,coping_strategies_8,coping_strategies_9,coping_strategies_10,coping_strategies_11,coping_strategies_12,coping_strategies_13,coping_strategies_14,coping_strategies_15,generalv_wellbeing_1,generalv_wellbeing_2,generalv_wellbeing_3,generalv_wellbeing_4,generalv_wellbeing_5,generalv_wellbeing_6,music_info_4,music_info_5,prop_miss_all
TRUE,2020-04-13T14:50:30Z,2020-04-13T15:09:55Z,2020-04-13T15:09:56Z,female,22,3,2,Chinese,Chinese,6,4,5,5,4,5,5,5,3,3,5,5,5,5,5,3,4,3,3,4,4,4,5,4,3,3,1,2,3,4,1,3,3,3,4,4,,,0
FALSE,2020-04-13T15:31:11Z,2020-04-13T15:41:32Z,2020-04-20T15:41:36Z,female,0,3,1,,,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.7291666666666666
TRUE,2020-04-21T14:03:23Z,2020-04-21T14:17:46Z,2020-04-21T14:17:46Z,female,99,3,1,,,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.7083333333333334
FALSE,2020-04-15T16:16:10Z,2020-04-15T16:16:54Z,2020-04-22T16:17:23Z,female,999,3,2,Chinese,Chinese,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.7083333333333334
TRUE,2020-04-22T20:56:26Z,2020-04-22T21:07:03Z,2020-04-22T21:07:04Z,female,51,3,1,Australia,White Australian,1,4,4,2,4,4,2,2,4,2,2,4,2,4,2,5,6,4,4,3,4,4,4,5,5,4,1,4,1,5,2,4,4,2,4,4,,,0
TRUE,2020-04-24T08:42:24Z,2020-04-24T08:55:40Z,2020-04-24T08:55:41Z,female,17,5,1,Australia,Australian (Caucasian),1,4,2,2,4,4,2,4,4,2,2,4,4,4,2,4,5,4,5,3,3,4,4,4,4,4,1,4,5,4,2,2,4,4,4,2,Julie Byrne,Follow My Voice,0
TRUE,2020-04-24T10:18:55Z,2020-04-24T10:35:00Z,2020-04-24T10:35:00Z,male,18,5,1,"USA, Australia",European American,1,4,4,2,2,4,3,2,2,2,2,5,4,2,4,5,3,4,5,1,4,3,2,4,1,5,1,4,1,3,2,4,2,2,4,2,KT Tunstall,Other Side of the World,0
TRUE,2020-04-24T11:22:39Z,2020-04-24T11:28:11Z,2020-04-24T11:28:11Z,female,17,5,1,Australia,Chinese-Australian,1,4,1,1,4,4,2,5,5,4,1,2,3,1,4,6,6,5,3,6,6,6,6,6,6,6,1,1,1,6,1,5,4,4,4,2,Friday Night Plans,Plastic Love,0
TRUE,2020-04-24T11:56:43Z,2020-04-24T12:10:19Z,2020-04-24T12:10:20Z,female,17,5,1,Australia,Chinese/Vietnamese,1,4,4,2,5,2,4,5,5,3,4,5,4,4,2,5,5,4,3,1,3,5,4,3,4,5,6,5,6,5,5,2,4,4,4,5,"Bethel Music, Kristene Dimarco",It Is Well,0
FALSE,2020-04-15T16:12:15Z,2020-04-19T13:56:52Z,2020-04-26T13:57:19Z,female,999,3,2,Chinese,Chinese,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.7083333333333334
TRUE,2020-04-26T19:18:10Z,2020-04-26T19:32:19Z,2020-04-26T19:32:20Z,male,18,5,1,"Australian, UK",Caucasian,2,4,4,2,4,2,1,4,2,4,2,2,2,4,4,5,5,5,6,3,3,4,4,2,1,3,1,5,1,4,4,2,2,4,2,1,,,0
TRUE,2020-04-26T19:40:51Z,2020-04-26T19:52:39Z,2020-04-26T19:52:40Z,female,18,5,1,UK and Australia,,1,4,5,4,4,5,5,4,5,5,5,5,5,4,4,5,6,5,5,5,3,4,6,4,5,6,1,6,6,5,4,5,5,4,4,5,George Ezra,Pretty Smiling People,0
TRUE,2020-04-26T19:43:02Z,2020-04-26T20:02:27Z,2020-04-26T20:02:27Z,female,18,5,1,"Netherlands, Belgium, New Zealand",Caucasian,1,4,1,5,4,2,1,4,5,5,2,1,2,4,2,4,4,3,4,4,5,5,5,5,3,6,1,3,1,3,3,4,3,3,3,4,Daniela Andrade,Shore- EP,0
TRUE,2020-04-26T19:48:01Z,2020-04-26T20:05:55Z,2020-04-26T20:05:55Z,female,17,5,1,Australia,Australia,1,4,1,1,1,3,1,4,3,2,2,5,5,3,4,5,6,1,2,2,3,3,4,5,1,1,1,5,1,4,2,4,2,5,2,1,Miley Cyrus,The Climb,0
TRUE,2020-04-26T20:11:15Z,2020-04-26T20:22:03Z,2020-04-26T20:22:04Z,female,18,5,1,Australia,Caucasian,1,4,4,1,4,5,1,5,3,3,4,5,4,4,5,1,5,1,5,4,4,4,5,5,1,4,1,4,1,1,4,1,2,4,3,4,Shawn Mendes,A Little Too Much / Youth,0
TRUE,2020-04-26T20:20:59Z,2020-04-26T20:30:37Z,2020-04-26T20:30:37Z,female,18,5,1,Australia,Asian/Vietnamese,1,4,2,2,2,2,2,3,2,2,2,4,2,2,3,1,4,3,2,2,2,2,2,5,5,5,1,1,1,3,1,1,3,5,2,1,There's more than one lol,It's a Spotify playlist of my liked songs,0
TRUE,2020-04-26T20:36:18Z,2020-04-26T20:49:10Z,2020-04-26T20:49:10Z,male,17,5,1,Australia,None,1,4,2,2,1,2,3,5,3,3,2,2,2,2,3,6,1,4,4,3,4,3,5,6,1,5,1,1,1,4,5,5,5,5,2,3,,,0
TRUE,2020-04-26T20:38:07Z,2020-04-26T20:49:40Z,2020-04-26T20:49:41Z,female,17,5,1,Australia,Australian,1,4,2,2,2,2,3,4,3,3,2,4,2,4,2,5,4,4,4,3,4,4,5,5,2,5,1,5,1,4,2,5,4,5,2,2,,,0
TRUE,2020-04-26T20:43:21Z,2020-04-26T20:50:11Z,2020-04-26T20:50:12Z,female,17,5,1,Australian,white,1,4,5,4,3,3,4,4,4,2,4,5,4,4,4,5,6,4,6,2,2,2,4,6,3,1,1,5,4,5,1,3,1,5,1,1,Novo Amor,anchor,0
